HIP,HD,Teff,logg,NaH,SiH,TiH,FeH,NiH
12364,HD16623,5819,4.49,-0.33,-0.25,-0.16,-0.45,-0.43
12653,HD17051,6097,4.34,0.08,0.1,0.07,0.11,0.07
12764,HD17037,6206,4.32,0.03,0.07,0.1,0.08,0.05
12777,HD16895,6344,4.42,-0.04,0.04,0.04,0.06,-0.03
12926,HD17190,5142,4.40,-0.1,-0.11,-0.12,-0.11,-0.15
13402,HD17925,5236,4.59,0.11,0.06,0.11,0.18,0.1
13601,HD18144,5511,4.48,0.06,0.05,0.04,0.07,0.05
13642,HD18143,5148,4.55,0.34,0.24,0.18,0.28,0.26
13679,HD18262,6458,4.16,0.16,0.25,0.27,0.31,0.22
13769,HD18445,4894,4.57,-0.05,-0.01,-0.11,0,-0.15
13902,HD18709,5874,4.37,-0.31,-0.19,-0.16,-0.26,-0.29
13976,HD18632,5088,4.42,0.18,0.13,0.16,0.25,0.16
14086,HD18907,5097,3.93,-0.54,-0.38,-0.27,-0.57,-0.52
14150,HD18803,5638,4.45,0.17,0.11,0.05,0.11,0.11
14241,HD19034,5470,4.63,-0.37,-0.21,-0.17,-0.49,-0.44
14501,HD19467,5715,4.44,-0.12,-0.04,0,-0.15,-0.14
14532,HD19308,5807,4.34,0.2,0.14,0.1,0.13,0.15
14623,HD19632,5772,4.49,0.07,0.08,0.05,0.13,0.08
14632,HD19373,6032,4.31,0.18,0.16,0.12,0.16,0.18
14857,HD20029,6140,4.28,0.09,0.12,0.09,0.12,0.1
14954,HD19994,6188,4.24,0.27,0.21,0.22,0.19,0.24
14964,HD20201,5977,4.38,-0.05,0.08,0.08,0.08,0.05
15099,HD20165,5110,4.49,0.01,-0.02,-0.07,-0.03,-0.05
15330,HD20766,5699,4.58,-0.27,-0.18,-0.2,-0.24,-0.26
