Star,Teff,logg,[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[ScI/H],[ScII/H],[TiI/H],[TiII/H],[V/H],[CrI/H],[CrII/H],[Mn/H],[Co/H],[Ni/H]
HD119629,6250,4.17,-0.17,-0.260,-0.250,-0.245,-0.091,-0.071,-0.065,-0.107,-0.077,-0.078,-0.169,-0.192,-0.177,-0.245,-0.199,-0.189
HD119638,6069,4.42,-0.15,-0.110,-0.140,-0.195,-0.119,-0.098,-0.063,-0.120,-0.120,-0.130,-0.175,-0.143,-0.157,-0.225,-0.169,-0.166
HD11964A,5332,3.90,0.08,0.065,0.143,0.145,0.094,0.090,0.117,0.093,0.139,0.108,0.223,0.091,0.083,0.108,0.137,0.071
HD119782,5160,4.44,-0.07,-0.025,-0.050,-0.005,-0.041,-0.036,0.010,-0.128,0.013,-0.050,0.199,-0.036,-0.073,-0.085,-0.024,-0.073
HD119949,6359,4.47,-0.41,-0.375,-0.300,-0.520,-0.354,-0.306,-0.060,-0.215,-0.252,-0.262,-0.380,-0.423,-0.397,-0.535,-0.337,-0.410
HD120344,5623,4.42,-0.19,-0.210,-0.123,-0.105,-0.165,-0.145,-0.113,-0.140,-0.117,-0.138,-0.158,-0.193,-0.187,-0.253,-0.166,-0.212
HD120362,5517,4.51,0.10,-0.030,0.223,0.065,0.040,0.124,0.120,0.045,0.117,0.122,0.243,0.138,0.167,0.193,0.153,0.092
HD120491,4680,4.49,-0.34,0.125,-0.270,-0.195,-0.402,-0.221,0.233,-0.338,-0.042,-0.315,0.263,-0.249,-0.447,-0.520,-0.214,-0.346
HD121004,5687,4.48,-0.71,-0.605,-0.383,-0.490,-0.459,-0.438,-0.495,-0.568,-0.404,-0.415,-0.603,-0.678,-0.673,-0.980,-0.618,-0.695
HD121504,6022,4.49,0.14,0.105,0.090,0.085,0.120,0.152,0.167,0.127,0.142,0.140,0.120,0.139,0.107,0.133,0.094,0.120
HD122308,5253,4.44,-0.32,-0.310,-0.333,-0.215,-0.288,-0.274,-0.287,-0.348,-0.192,-0.323,-0.133,-0.278,-0.307,-0.355,-0.307,-0.360
HD122474,5716,4.37,0.13,0.190,0.120,0.155,0.105,0.078,0.187,0.193,0.150,0.098,0.210,0.125,0.163,0.200,0.171,0.145
HD122862,5982,4.23,-0.12,-0.075,-0.093,-0.125,-0.079,-0.072,-0.060,-0.048,-0.094,-0.055,-0.129,-0.122,-0.110,-0.145,-0.117,-0.121
HD123265,5338,4.29,0.19,0.330,0.320,0.325,0.285,0.160,0.347,0.303,0.300,0.192,0.488,0.206,0.117,0.270,0.393,0.227
HD123319,5619,4.56,-0.52,-0.440,-0.430,-0.400,-0.470,-0.430,-0.463,-0.468,-0.408,-0.455,-0.494,-0.506,-0.460,-0.638,-0.507,-0.550
HD12345,5395,4.44,-0.21,-0.170,-0.150,-0.100,-0.174,-0.183,-0.153,-0.173,-0.117,-0.165,-0.084,-0.190,-0.190,-0.195,-0.161,-0.205
HD123517,6082,4.08,0.09,0.110,0.097,-0.050,0.125,0.103,0.067,0.150,0.111,0.125,0.051,0.066,0.123,0.065,0.063,0.070
HD123619,6166,4.45,-0.32,-0.285,-0.273,-0.565,-0.266,-0.238,99.99,-0.188,-0.297,-0.213,-0.408,-0.327,-0.290,-0.415,-0.244,-0.334
HD123651,5926,4.55,-0.48,-0.415,-0.373,-0.440,-0.423,-0.401,-0.280,-0.405,-0.417,-0.383,-0.463,-0.481,-0.440,-0.600,-0.496,-0.497
HD1237,5514,4.50,0.07,0.065,0.017,-0.005,0.065,0.105,0.073,0.027,0.073,0.043,0.160,0.112,0.050,0.095,0.048,0.054
HD12387,5700,4.39,-0.24,-0.120,-0.043,-0.020,-0.107,-0.131,-0.077,-0.065,-0.060,-0.073,-0.114,-0.225,-0.197,-0.360,-0.113,-0.206
HD124106,5106,4.49,-0.17,-0.160,-0.187,-0.105,-0.139,-0.151,-0.070,-0.195,-0.066,-0.172,0.100,-0.143,-0.200,-0.238,-0.139,-0.199
HD124292,5443,4.37,-0.13,-0.060,-0.040,-0.030,-0.080,-0.097,-0.060,-0.093,-0.040,-0.102,-0.009,-0.101,-0.153,-0.118,-0.057,-0.114
HD124364,5584,4.48,-0.27,-0.280,-0.217,-0.245,-0.246,-0.226,-0.267,-0.283,-0.210,-0.258,-0.240,-0.260,-0.253,-0.355,-0.280,-0.309
HD124785,5867,4.20,-0.56,-0.410,-0.240,-0.325,-0.319,-0.321,-0.315,-0.325,-0.270,-0.255,-0.416,-0.552,-0.507,-0.783,-0.440,-0.527
HD125072,5007,4.56,0.18,0.465,0.210,0.465,0.191,0.134,0.673,0.308,0.340,0.220,0.706,0.199,0.147,0.195,0.439,0.242
HD125184,5680,4.10,0.27,0.310,0.313,0.315,0.288,0.247,0.343,0.327,0.299,0.333,0.345,0.291,0.197,0.325,0.367,0.298
HD125271,4779,4.33,-0.22,-0.100,-0.200,-0.015,-0.270,-0.161,0.187,-0.277,0.030,-0.205,0.366,-0.154,-0.303,-0.285,-0.170,-0.210
HD125455,5162,4.52,-0.18,-0.110,-0.137,-0.050,-0.149,-0.165,-0.033,-0.150,-0.033,-0.177,0.151,-0.164,-0.200,-0.190,-0.097,-0.180
HD125522,4839,4.45,-0.46,-0.260,-0.420,-0.280,-0.420,-0.337,-0.103,-0.517,-0.155,-0.467,0.108,-0.389,-0.533,-0.525,-0.323,-0.453
HD125595,4691,4.17,0.08,0.385,0.127,0.355,0.076,0.179,0.650,0.102,0.300,-0.035,0.670,0.086,-0.037,0.138,0.301,0.159
HD125612,5913,4.43,0.24,0.220,0.207,0.225,0.229,0.230,0.277,0.268,0.252,0.242,0.265,0.242,0.177,0.263,0.233,0.246
HD125881,6036,4.49,0.06,0.050,0.020,0.015,0.065,0.087,0.133,0.067,0.071,0.070,0.056,0.074,0.027,0.000,0.030,0.054
HD12617,4890,4.46,0.10,0.285,0.080,0.285,0.126,0.113,0.467,0.127,0.234,0.112,0.606,0.107,0.080,0.092,0.291,0.161
HD126525,5638,4.37,-0.10,-0.030,-0.033,-0.025,-0.057,-0.068,-0.033,-0.080,-0.041,-0.067,-0.050,-0.074,-0.113,-0.093,-0.047,-0.083
HD126681,5570,4.70,-1.15,-1.285,-0.840,-0.990,-0.784,-0.828,-1.020,-1.076,-0.844,-0.890,-1.080,-1.131,-1.013,-1.510,-1.150,-1.155
HD126793,5904,4.43,-0.71,-0.580,-0.383,-0.720,-0.455,-0.438,-0.430,-0.540,-0.411,-0.410,-0.548,-0.703,-0.657,-0.968,-0.573,-0.686
HD126803,5470,4.48,-0.61,-0.510,-0.360,-0.325,-0.433,-0.422,-0.417,-0.452,-0.327,-0.352,-0.457,-0.586,-0.507,-0.823,-0.489,-0.592
HD126829,4726,4.51,-0.14,-0.030,-0.210,0.005,-0.166,-0.088,0.283,-0.232,0.087,-0.097,0.330,-0.097,-0.297,-0.248,-0.070,-0.149
HD127124,5079,4.43,-0.04,0.030,-0.057,0.035,0.004,0.003,0.100,-0.123,0.062,-0.038,0.316,0.003,-0.037,-0.045,0.020,-0.045
HD128113,4922,4.28,-0.17,-0.035,0.117,-0.025,-0.155,-0.161,0.023,-0.122,-0.020,-0.247,0.288,-0.166,-0.197,-0.188,-0.054,-0.165
HD128340,6259,4.64,-0.55,-0.400,-0.487,-0.565,-0.500,-0.458,99.99,-0.452,-0.468,-0.450,-0.453,-0.571,-0.527,-0.663,-0.517,-0.541
HD128431,5429,4.43,-0.34,-0.275,-0.303,-0.265,-0.325,-0.304,-0.310,-0.347,-0.285,-0.347,-0.270,-0.317,-0.233,-0.360,-0.316,-0.371
HD128571,6159,4.40,-0.37,-0.270,-0.367,-0.500,-0.350,-0.313,99.99,-0.315,-0.278,-0.298,-0.445,-0.385,-0.457,-0.485,-0.293,-0.439
HD128674,5551,4.50,-0.38,-0.350,-0.237,-0.275,-0.314,-0.300,-0.293,-0.293,-0.263,-0.308,-0.321,-0.363,-0.327,-0.460,-0.336,-0.383
HD129191,5832,4.39,0.24,0.395,0.240,0.290,0.252,0.210,0.280,0.292,0.259,0.240,0.309,0.245,0.217,0.355,0.334,0.295
HD129229,5872,3.89,-0.42,-0.320,-0.330,-0.110,-0.353,-0.345,-0.350,-0.330,-0.356,-0.328,-0.461,-0.453,-0.420,-0.553,-0.403,-0.451
HD129642,5026,4.49,-0.06,0.180,0.063,0.175,-0.013,0.028,0.363,-0.032,0.210,0.048,0.499,0.004,-0.067,-0.070,0.114,-0.037
HD129829,6196,4.66,-0.16,0.170,-0.177,-0.285,-0.178,-0.098,-0.080,-0.150,-0.085,-0.123,-0.201,-0.148,-0.160,-0.220,-0.193,-0.186
HD130322,5365,4.37,-0.02,0.025,-0.007,0.040,0.002,0.002,0.013,-0.040,0.039,-0.048,0.126,0.009,-0.040,0.015,0.031,-0.025
HD13060,5255,4.34,0.02,0.050,0.047,0.130,0.024,0.055,0.120,-0.005,0.127,0.032,0.345,0.057,-0.030,0.048,0.107,0.035
HD130930,5027,4.45,0.01,0.135,0.110,0.285,0.079,0.001,0.367,0.088,0.231,0.070,0.555,0.042,-0.023,0.018,0.233,0.049
HD130989,6414,4.27,-0.23,-0.175,-0.233,-0.335,-0.145,-0.117,0.470,-0.037,-0.151,-0.085,-0.283,-0.223,-0.187,-0.375,-0.300,-0.279
HD130992,4898,4.54,-0.13,-0.010,-0.120,0.015,-0.171,-0.042,0.267,-0.118,0.107,-0.143,0.418,-0.067,-0.190,-0.163,-0.063,-0.125
HD131183,5670,4.24,0.09,0.110,0.183,0.210,0.123,0.105,0.157,0.202,0.173,0.178,0.179,0.082,0.070,0.083,0.190,0.103
HD131218,5797,4.55,-0.06,-0.095,-0.133,-0.145,-0.090,-0.032,-0.330,-0.093,-0.031,-0.062,-0.015,-0.064,-0.073,-0.080,-0.073,-0.108
HD131565,5612,4.47,-0.16,-0.175,-0.147,-0.185,-0.180,-0.121,-0.117,-0.193,-0.120,-0.118,-0.149,-0.138,-0.117,-0.165,-0.159,-0.204
HD131653,5324,4.54,-0.66,-0.515,-0.330,-0.330,-0.423,-0.388,-0.470,-0.458,-0.251,-0.398,-0.373,-0.583,-0.617,-0.885,-0.517,-0.643
HD131664,5901,4.50,0.31,0.400,0.297,0.305,0.319,0.286,0.390,0.372,0.316,0.348,0.380,0.318,0.297,0.388,0.366,0.355
HD1320,5679,4.49,-0.27,-0.270,-0.240,-0.265,-0.250,-0.223,-0.263,-0.298,-0.226,-0.262,-0.275,-0.258,-0.257,-0.308,-0.297,-0.305
HD132411,4673,4.32,-0.29,-0.070,-0.283,-0.175,-0.323,-0.199,0.237,-0.328,-0.074,-0.172,0.291,-0.237,-0.370,-0.398,-0.183,-0.287
HD13252,5358,4.33,-0.25,-0.190,0.000,-0.110,-0.218,-0.201,-0.210,-0.278,-0.123,-0.268,-0.141,-0.222,-0.203,-0.270,-0.157,-0.273
HD132569,5026,4.49,-0.26,-0.255,-0.270,-0.195,-0.280,-0.245,-0.133,-0.293,-0.087,-0.243,0.086,-0.226,-0.247,-0.333,-0.253,-0.298
HD132648,5418,4.49,-0.37,-0.320,-0.310,-0.305,-0.319,-0.312,-0.327,-0.367,-0.270,-0.330,-0.276,-0.338,-0.380,-0.430,-0.352,-0.386
HD133633,5571,4.48,-0.45,-0.405,-0.297,-0.335,-0.359,-0.353,-0.340,-0.357,-0.302,-0.315,-0.373,-0.437,-0.413,-0.595,-0.426,-0.472
HD134060,5966,4.43,0.14,0.175,0.147,0.135,0.128,0.149,0.193,0.185,0.146,0.162,0.150,0.126,0.070,0.143,0.166,0.158
HD134088,5675,4.46,-0.75,-0.650,-0.457,-0.530,-0.533,-0.509,-0.585,-0.578,-0.483,-0.497,-0.664,-0.737,-0.710,-0.993,-0.653,-0.737
HD134113,5782,4.25,-0.74,-0.615,-0.400,-0.525,-0.474,-0.466,-0.530,-0.555,-0.441,-0.402,-0.638,-0.731,-0.700,-1.005,-0.650,-0.721
HD134440,4987,4.80,-1.32,-1.735,-1.440,99.99,-1.332,-1.140,-1.107,-1.492,-1.039,-1.163,-1.133,-1.165,-1.345,-1.720,-1.418,-1.473
HD134606,5633,4.38,0.27,0.420,0.307,0.335,0.314,0.221,0.373,0.390,0.314,0.302,0.410,0.286,0.237,0.363,0.399,0.326
HD134664,5865,4.52,0.10,0.065,0.073,0.060,0.080,0.094,0.130,0.105,0.106,0.103,0.099,0.108,0.090,0.043,0.095,0.086
HD134702,5782,4.50,-0.04,-0.100,-0.067,-0.060,-0.031,-0.016,0.020,-0.027,-0.020,-0.035,-0.033,-0.036,-0.020,-0.100,-0.063,-0.068
HD134929B,5330,4.36,0.07,0.190,0.110,0.165,0.095,0.041,0.130,0.072,0.140,0.028,0.310,0.075,0.063,0.140,0.186,0.101
HD134985,5090,4.44,-0.60,-0.370,-0.337,-0.280,-0.403,-0.421,-0.397,-0.440,-0.259,-0.377,-0.251,-0.558,-0.577,-0.743,-0.456,-0.558
HD134987,5740,4.30,0.25,0.420,0.297,0.320,0.305,0.213,0.353,0.347,0.267,0.318,0.328,0.258,0.213,0.325,0.367,0.318
HD135468,6417,4.25,-0.02,-0.055,-0.057,-0.210,-0.011,0.036,0.105,0.060,0.076,0.052,-0.002,-0.029,0.007,-0.163,-0.068,-0.083
HD135625,6003,4.32,0.12,0.200,0.107,0.120,0.141,0.123,0.167,0.182,0.117,0.127,0.114,0.115,0.113,0.150,0.139,0.149
HD13578,5842,4.18,-0.03,0.005,0.017,0.035,0.009,0.003,-0.023,0.048,-0.003,0.032,-0.020,-0.034,0.017,-0.025,-0.020,-0.030
HD136352,5664,4.39,-0.34,-0.230,-0.120,-0.115,-0.195,-0.203,-0.177,-0.190,-0.134,-0.172,-0.241,-0.318,-0.310,-0.555,-0.233,-0.328
HD136713,4994,4.45,0.07,0.350,0.110,0.310,0.132,0.056,0.427,0.163,0.230,0.082,0.596,0.091,0.057,0.113,0.308,0.151
HD136894,5412,4.36,-0.10,-0.155,-0.057,-0.040,-0.090,-0.082,-0.090,-0.130,-0.046,-0.090,-0.014,-0.086,-0.093,-0.103,-0.124,-0.136
HD137010,4797,4.41,-0.22,-0.145,-0.197,-0.095,-0.216,-0.089,0.317,-0.227,0.075,-0.235,0.378,-0.113,-0.320,-0.265,-0.093,-0.222
HD13724,5868,4.52,0.23,0.280,0.220,0.240,0.231,0.220,0.300,0.308,0.263,0.262,0.304,0.250,0.187,0.258,0.290,0.261
HD137303,4756,4.51,-0.35,-0.155,-0.290,-0.140,-0.346,-0.273,0.190,-0.412,-0.033,-0.357,0.270,-0.277,-0.483,-0.413,-0.249,-0.335
HD137388,5240,4.42,0.18,0.390,0.207,0.315,0.256,0.106,0.377,0.285,0.290,0.158,0.540,0.182,0.120,0.273,0.380,0.247
HD137676,5253,3.93,-0.53,-0.435,-0.227,-0.115,-0.345,-0.347,-0.400,-0.338,-0.244,-0.300,-0.329,-0.535,-0.480,-0.693,-0.400,-0.506
HD13789,4740,4.33,-0.06,0.045,-0.090,0.045,-0.046,0.012,0.310,-0.147,0.115,-0.168,0.421,-0.011,-0.133,-0.110,0.030,-0.046
HD13808,5087,4.40,-0.20,-0.085,-0.150,-0.085,-0.169,-0.137,-0.047,-0.237,-0.068,-0.210,0.139,-0.166,-0.233,-0.185,-0.135,-0.194
HD138549,5582,4.44,0.00,0.065,0.023,0.035,0.025,-0.003,0.040,0.000,0.039,-0.008,0.084,0.033,-0.023,0.045,0.062,0.027
HD138799,5224,4.36,0.02,0.075,-0.003,0.045,0.024,0.042,0.060,0.047,0.101,0.065,0.283,0.044,0.040,0.100,0.086,0.048
HD1388,5954,4.41,-0.01,-0.005,0.013,-0.005,0.005,0.024,0.047,0.032,0.023,0.035,-0.025,-0.007,-0.023,-0.073,-0.014,-0.011
HD138914,4983,4.38,-0.12,-0.080,-0.073,0.155,-0.095,-0.087,0.003,-0.175,0.014,-0.188,0.258,-0.086,-0.093,-0.093,-0.024,-0.129
HD139189,5075,4.41,0.02,0.095,0.140,0.110,0.057,0.005,0.217,-0.015,0.140,0.023,0.430,0.041,-0.053,0.065,0.147,0.036
HD139332,4899,4.30,0.00,0.165,0.133,0.265,0.007,0.018,0.557,0.003,0.330,0.030,0.669,0.069,-0.083,0.048,0.276,0.020
HD139536,5209,4.71,-0.04,0.090,-0.100,0.055,-0.029,0.080,0.187,-0.063,0.107,0.205,0.311,0.027,-0.083,-0.115,0.077,-0.034
HD139590,6200,4.49,0.13,0.190,0.080,0.050,0.149,0.135,0.157,0.180,0.119,0.158,0.118,0.122,0.150,0.123,0.084,0.140
HD139710,5123,4.41,-0.08,-0.050,-0.117,-0.025,-0.077,-0.060,-0.037,-0.158,0.002,-0.110,0.151,-0.050,-0.037,-0.090,-0.044,-0.121
HD139879,6203,4.61,0.30,0.305,0.407,0.525,0.264,0.252,0.417,0.412,0.330,0.358,0.353,0.285,0.263,0.343,0.344,0.323
HD140785,5756,4.12,-0.05,-0.025,-0.027,0.005,-0.031,-0.006,-0.060,-0.005,-0.042,-0.005,-0.058,-0.068,-0.047,-0.085,-0.085,-0.076
HD140901,5610,4.46,0.09,0.145,0.117,0.120,0.100,0.091,0.140,0.127,0.134,0.107,0.171,0.104,0.080,0.108,0.140,0.118
HD141128,6758,4.67,0.07,0.120,-0.057,-0.220,0.010,0.111,0.180,0.117,0.112,0.102,0.010,0.069,0.087,0.005,0.193,0.023
HD141597,6285,4.38,-0.40,-0.285,-0.153,-0.280,-0.253,-0.168,0.025,-0.175,-0.090,-0.130,-0.301,-0.331,-0.357,-0.585,-0.210,-0.377
HD141598,5593,4.37,-0.10,-0.015,0.020,0.060,-0.060,-0.053,0.050,0.012,0.038,-0.023,-0.005,-0.087,-0.047,-0.105,0.031,-0.103
HD141624,5871,4.40,-0.38,-0.360,-0.283,-0.360,-0.310,-0.313,-0.225,-0.265,-0.290,-0.295,-0.370,-0.359,-0.327,-0.505,-0.329,-0.403
HD141937,5893,4.45,0.13,0.100,0.093,0.100,0.114,0.135,0.133,0.130,0.119,0.124,0.116,0.132,0.100,0.100,0.150,0.120
HD142,6403,4.62,0.09,0.115,-0.010,-0.145,0.125,-0.063,0.220,0.055,0.146,0.180,0.100,0.047,0.173,0.150,0.055,0.017
HD142022A,5508,4.35,0.19,0.180,0.387,0.240,0.194,0.158,0.240,0.228,0.244,0.252,0.343,0.210,0.140,0.268,0.279,0.200
HD142709,4728,4.44,-0.35,-0.155,-0.340,-0.090,-0.393,-0.200,0.317,-0.387,0.025,-0.312,0.253,-0.209,-0.620,-0.473,-0.184,-0.372
HD142879,5707,4.51,-0.39,-0.345,-0.360,-0.390,-0.341,-0.322,-0.270,-0.317,-0.333,-0.363,-0.394,-0.369,-0.357,-0.485,-0.320,-0.442
HD143114,5775,4.39,-0.41,-0.320,-0.150,-0.190,-0.263,-0.256,-0.243,-0.217,-0.198,-0.183,-0.300,-0.413,-0.357,-0.615,-0.323,-0.376
HD143295,4987,4.43,-0.03,0.000,-0.060,-0.010,-0.013,0.018,0.040,-0.132,0.040,-0.078,0.240,-0.029,-0.020,-0.090,-0.069,-0.075
HD143638,5954,4.48,-0.27,-0.255,-0.213,-0.320,-0.226,-0.223,-0.147,-0.205,-0.219,-0.163,-0.291,-0.283,-0.243,-0.318,-0.269,-0.287
HD14374,5425,4.48,-0.04,-0.025,-0.043,-0.015,-0.023,0.003,-0.010,-0.053,0.032,-0.027,0.084,-0.023,-0.030,-0.055,-0.013,-0.058
HD143790,6557,4.11,-0.06,0.100,-0.137,-0.185,-0.005,-0.008,0.160,-0.025,0.057,-0.022,-0.110,-0.057,-0.040,-0.175,-0.085,-0.101
HD144342,5403,4.47,0.07,0.125,0.067,0.105,0.061,0.093,0.113,0.050,0.126,0.072,0.221,0.104,0.023,0.108,0.140,0.079
HD144411,4852,4.39,-0.32,-0.205,-0.263,-0.170,-0.331,-0.191,-0.003,-0.365,-0.056,-0.368,0.236,-0.222,-0.383,-0.338,-0.253,-0.328
HD144497,5022,4.50,-0.12,-0.055,-0.113,-0.045,-0.156,-0.057,0.080,-0.170,0.054,-0.195,0.316,-0.056,0.293,-0.158,-0.084,-0.144
HD14452,5313,4.50,-0.16,0.145,0.010,0.120,-0.236,0.193,0.400,-0.210,0.402,-0.253,0.699,0.191,0.170,0.055,0.006,-0.109
HD144585,5914,4.35,0.33,0.400,0.380,0.400,0.327,0.305,0.440,0.453,0.371,0.435,0.419,0.340,0.177,0.380,0.433,0.395
HD144589,6372,4.28,-0.05,0.075,-0.167,-0.180,-0.004,0.005,0.070,-0.040,0.066,-0.013,0.021,-0.079,-0.060,-0.108,0.000,-0.103
HD144628,5085,4.51,-0.41,-0.350,-0.290,-0.220,-0.354,-0.306,-0.183,-0.365,-0.169,-0.333,-0.012,-0.362,-0.417,-0.475,-0.319,-0.420
HD144846,6102,4.52,0.13,0.135,0.117,-0.030,0.106,0.116,0.110,0.140,0.136,0.120,0.101,0.136,0.133,0.160,0.070,0.126
HD144880,6152,4.38,-0.30,-0.240,-0.180,-0.270,-0.249,-0.193,-0.165,-0.200,-0.228,-0.170,-0.299,-0.311,-0.270,-0.420,-0.327,-0.286
HD145344,6143,4.39,-0.68,-0.600,-0.527,-0.655,-0.589,-0.515,-0.480,-0.540,-0.497,-0.480,-0.630,-0.665,-0.630,-0.873,-0.583,-0.697
HD145377,6054,4.53,0.12,0.065,0.070,0.060,0.109,0.154,0.167,0.098,0.142,0.132,0.109,0.134,0.140,0.083,0.051,0.082
HD145417,5006,4.82,-1.23,-1.390,-0.923,-1.100,-1.063,-0.896,-0.837,-1.224,-0.802,-0.950,-0.911,-1.138,-1.160,-1.630,-1.160,-1.287
HD145598,5417,4.48,-0.78,-0.645,-0.437,-0.480,-0.528,-0.528,-0.627,-0.638,-0.469,-0.503,-0.624,-0.745,-0.447,-1.015,-0.689,-0.756
HD145666,5958,4.53,-0.04,-0.080,-0.070,-0.110,-0.063,-0.009,-0.020,-0.080,-0.035,-0.044,-0.079,-0.034,-0.057,-0.098,-0.110,-0.073
HD145809,5778,4.15,-0.25,-0.265,-0.153,-0.175,-0.200,-0.173,-0.227,-0.168,-0.165,-0.138,-0.256,-0.264,-0.260,-0.405,-0.260,-0.296
HD145927,5819,4.41,-0.03,0.030,-0.003,-0.005,-0.025,-0.023,-0.013,0.022,-0.004,-0.018,-0.020,-0.025,0.000,-0.010,-0.013,-0.021
HD1461,5765,4.38,0.19,0.320,0.210,0.235,0.206,0.173,0.270,0.247,0.213,0.187,0.247,0.205,0.130,0.275,0.273,0.246
HD146233,5818,4.45,0.04,0.060,0.073,0.035,0.051,0.063,0.097,0.052,0.078,0.057,0.060,0.060,0.013,0.060,0.056,0.046
HD14635,4806,4.45,-0.03,0.140,-0.040,0.175,0.012,0.084,0.497,-0.038,0.265,-0.075,0.549,0.008,-0.103,-0.045,0.097,0.001
HD14680,5011,4.46,-0.17,-0.150,-0.157,-0.085,-0.161,-0.108,-0.010,-0.220,-0.027,-0.208,0.216,-0.124,-0.200,-0.270,-0.126,-0.189
HD147147,4856,4.51,-0.17,-0.080,-0.067,-0.145,-0.203,-0.147,0.120,-0.293,0.036,0.007,0.360,-0.123,0.030,-0.240,-0.070,-0.198
HD147195,5557,4.48,-0.05,-0.055,-0.053,0.000,-0.045,-0.036,0.027,-0.012,0.001,0.008,0.034,-0.036,-0.097,-0.060,-0.024,-0.054
HD14744,4923,4.45,-0.13,-0.115,-0.167,-0.085,-0.125,-0.110,0.020,-0.165,0.000,-0.100,0.285,-0.117,-0.140,-0.170,-0.100,-0.146
HD14745,6290,4.72,-0.14,-0.290,-0.183,-0.215,-0.129,-0.104,0.000,-0.025,-0.055,-0.030,-0.110,-0.152,-0.083,-0.240,-0.191,-0.167
HD14747,5516,4.43,-0.39,-0.290,-0.153,-0.130,-0.238,-0.238,-0.227,-0.215,-0.148,-0.183,-0.236,-0.368,-0.343,-0.550,-0.274,-0.371
HD147512,5530,4.40,-0.08,0.005,-0.013,0.015,-0.041,-0.059,-0.007,-0.048,-0.003,-0.065,0.014,-0.061,-0.120,-0.123,0.000,-0.060
HD147513,5858,4.50,0.03,-0.020,-0.040,0.045,0.070,0.164,0.100,0.202,0.205,0.272,0.294,0.152,0.023,-0.103,0.203,0.084
HD147518,5626,4.40,-0.63,-0.540,-0.333,-0.425,-0.459,-0.434,-0.530,-0.472,-0.382,-0.425,-0.568,-0.616,-0.573,-0.840,-0.480,-0.620
HD148156,6251,4.51,0.25,0.330,0.177,0.030,0.275,0.243,0.297,0.320,0.271,0.283,0.261,0.229,0.303,0.300,0.263,0.283
HD148211,5948,4.36,-0.62,-0.535,-0.407,-0.535,-0.446,-0.436,-0.370,-0.453,-0.391,-0.388,-0.537,-0.617,-0.603,-0.810,-0.569,-0.614
HD148303,4958,4.55,-0.03,-0.010,-0.117,0.065,-0.037,-0.018,0.230,-0.125,0.117,-0.033,0.396,-0.022,-0.060,-0.125,0.040,-0.031
HD148577,5713,4.29,-0.09,0.015,0.057,0.105,0.001,-0.027,0.030,0.068,0.034,0.052,-0.009,-0.074,-0.070,-0.140,0.009,-0.059
HD14868,5864,4.44,0.02,0.015,0.003,0.005,0.001,0.049,0.050,0.100,0.000,0.063,0.023,-0.009,0.043,-0.045,0.049,-0.040
HD148816,5908,4.39,-0.71,-0.580,-0.430,-0.530,-0.457,-0.483,-0.560,-0.495,-0.439,-0.420,-0.607,-0.707,-0.690,-0.913,-0.589,-0.665
HD149200,6416,4.64,0.15,-0.070,0.037,0.080,0.164,0.172,0.200,0.410,0.242,0.243,0.149,0.131,0.140,0.025,0.099,0.151
HD149396,5657,4.47,0.19,0.270,0.167,0.205,0.204,0.168,0.233,0.225,0.214,0.198,0.279,0.212,0.193,0.260,0.251,0.230
HD149724,5747,4.24,0.37,0.585,0.407,0.435,0.399,0.293,0.457,0.465,0.387,0.373,0.506,0.385,0.340,0.493,0.569,0.447
HD149747,5823,3.95,-0.34,-0.295,-0.313,-0.415,-0.322,-0.266,-0.250,-0.212,-0.273,-0.248,-0.406,-0.365,-0.313,-0.340,-0.364,-0.381
HD150139,5968,4.29,-0.51,-0.465,-0.360,-0.485,-0.403,-0.373,-0.410,-0.413,-0.372,-0.383,-0.458,-0.502,-0.503,-0.678,-0.513,-0.537
HD150177,6216,4.18,-0.58,-0.455,-0.520,-0.420,-0.460,-0.443,99.99,-0.413,-0.403,-0.422,-0.620,-0.574,-0.553,-0.693,-0.580,-0.568
HD150433,5665,4.43,-0.36,-0.240,-0.093,-0.095,-0.184,-0.188,-0.170,-0.132,-0.104,-0.125,-0.197,-0.340,-0.317,-0.538,-0.223,-0.320
HD150437,5826,4.29,0.30,0.460,0.303,0.335,0.309,0.264,0.400,0.407,0.310,0.310,0.381,0.285,0.237,0.385,0.429,0.366
HD150474,5425,4.01,0.01,0.005,0.073,0.090,0.033,-0.007,0.013,0.077,0.054,0.077,0.103,0.004,0.023,0.058,0.031,-0.010
HD151504,5457,4.36,0.06,0.110,0.150,0.190,0.095,0.040,0.163,0.097,0.164,0.090,0.229,0.080,0.003,0.075,0.196,0.071
HD151692,4737,4.40,-0.07,0.200,-0.060,0.155,-0.113,0.028,0.577,-0.082,0.229,-0.090,0.554,0.001,-0.145,-0.070,0.119,-0.041
HD151772,6631,4.81,-0.36,-0.420,-0.260,-0.500,-0.341,-0.345,99.99,-0.253,-0.242,-0.192,-0.230,-0.372,-0.350,-0.523,-0.365,-0.384
HD151933,5849,4.29,-0.21,-0.175,-0.143,-0.150,-0.163,-0.145,-0.143,-0.115,-0.134,-0.117,-0.184,-0.232,-0.157,-0.295,-0.199,-0.249
HD152433,6144,4.49,-0.10,-0.075,-0.107,-0.200,-0.092,-0.071,-0.025,-0.038,-0.058,-0.038,-0.083,-0.119,-0.107,-0.173,-0.088,-0.124
